n_policy,lat,lon,insured_sum,zone
10000,40.420851100235126,-3.7037095016693398,90256,madrid
10001,40.43601622467211,-3.6755086329276314,73173,madrid
10002,40.400005718740864,-3.6824146139540366,96816,madrid
10003,40.415116628631594,-3.6818683952277445,45566,madrid
10004,40.40733779454086,-3.6965260485720037,32019,madrid
10005,40.40461692973844,-3.709461774876565,85434,madrid
10006,40.40931301056888,-3.7179262460211753,34867,madrid
10007,40.41727803635215,-3.703908560001488,81232,madrid
10008,40.419838373711535,-3.7181443667753005,45295,madrid
10009,40.42694083670017,-3.685307229431305,54922,madrid
10010,40.42095972572017,-3.6864824984031914,34201,madrid
10011,40.43426097501984,-3.6984764108627513,44595,madrid
10012,40.41022261248658,-3.681610551117091,36541,madrid
10013,40.44390587181955,-3.693199575263022,71703,madrid
10014,40.4013693796599,-3.7180070036682276,12071,madrid
10015,40.43352337550892,-3.713260344101966,33031,madrid
10016,40.42086524011836,-3.7103291800492544,52930,madrid
10017,40.42793449142229,-3.7032168099417677,73084,madrid
10018,40.40701934692976,-3.7173843526781263,42084,madrid
10019,40.409905074454244,-3.689744160974982,86620,madrid
10020,40.44003722843378,-3.694396948623804,52879,madrid
10021,40.448413078785975,-3.6891269493991423,22418,madrid
10022,40.41567120890796,-3.698382220261783,96083,madrid
10023,40.43461613078347,-3.677614976588128,61966,madrid
10024,40.4438194576148,-3.6972970471970426,9170,madrid
10025,40.444730333175194,-3.7192298240104043,16905,madrid
10026,40.40425221056849,-3.676346592577645,21026,madrid
10027,40.40195273916164,-3.687189922612795,87908,madrid
10028,40.40849152097823,-3.6788498479675766,17639,madrid
10029,40.44390712517147,-3.6724112153483075,57643,madrid
10030,40.40491734169165,-3.717454380824156,92438,madrid
10031,40.421055381250255,-3.7082464067954493,41390,madrid
10032,40.44789447650753,-3.7168328278271834,94395,madrid
10033,40.42665826424865,-3.6989171056983774,56417,madrid
10034,40.43459385569753,-3.6768085427249275,17415,madrid
10035,40.4157757815503,-3.7159188008642468,20694,madrid
10036,40.43432504638408,-3.696344402355706,13420,madrid
10037,40.44173128359487,-3.713722844509564,52930,madrid
10038,40.400914413867206,-3.681355719891644,20775,madrid
10039,40.43750721574725,-3.6779288921602076,836583,madrid
10040,40.449443054445325,-3.717835453090692,15119,madrid
10041,40.43740828271899,-3.69567796284148,31719,madrid
10042,40.41402219960322,-3.708029447793112,1393919,madrid
10043,40.43946396642258,-3.672376310915337,40560,madrid
10044,40.40516130032888,-3.67280536861081,95642,madrid
10045,40.4223946763088,-3.689303299880765,1083155,madrid
10046,40.44542977515466,-3.6713256301337402,31441,madrid
10047,40.41468070741868,-3.7027569328141876,79216,madrid
10048,40.41438876692932,-3.675107464116616,28383,madrid
10049,40.406501428605914,-3.6982702513295744,92537,madrid
10050,40.40096834789351,-3.7082092681426246,32226,madrid
10051,40.433941776646996,-3.67295860183993,76637,madrid
10052,40.4105814058,-3.6857890974508387,37425,madrid
10053,40.41327733296861,-3.716754420733044,27297,madrid
10054,40.42457865796402,-3.6764787571588466,23377,madrid
10055,40.40266812725585,-3.6849309852683327,34134,madrid
10056,40.4287058802746,-3.689753656351286,72420,madrid
10057,40.40733642874529,-3.6833812550410334,54722,madrid
10058,40.429465276845164,-3.707328047875011,19878,madrid
10059,40.43498791800105,-3.6899755522362727,36923,madrid
10060,40.40511672144139,-3.679269040936917,66632,madrid
10061,40.42070279939098,-3.7172943169838,46856,madrid
10062,40.43472000788639,-3.713474466433037,88538,madrid
10063,40.42070896347634,-3.6778777095021793,570149,madrid
10064,40.402497672947305,-3.689082706533606,23092,madrid
10065,40.426794820295775,-3.693435609475947,8306,madrid
10066,40.43318973226099,-3.7075854635501453,44816,madrid
10067,40.42574445560292,-3.7052460712375255,31754,madrid
10068,40.447229737799546,-3.676365691754027,39204,madrid
10069,40.4293277520251,-3.6989167032575145,35441,madrid
10070,40.4451700957644,-3.7167784872210197,89822,madrid
10071,40.40687373520731,-3.6751507465246207,15309,madrid
10072,40.40696381736254,-3.7098309583587974,30510,madrid
10073,40.44036956443548,-3.6786886232253804,1088443,madrid
10074,40.41988384184928,-3.6759114688458596,81326,madrid
10075,40.40826770985585,-3.695662462759083,91131,madrid
10076,40.4463754290198,-3.6900767653447684,12320,madrid
10077,40.417388292987276,-3.6936366271757293,4538,madrid
10078,40.43754060515681,-3.6887589352907253,41321,madrid
10079,40.436299899267524,-3.677247913932632,38188,madrid
10080,40.44416530456029,-3.7058930275797572,88720,madrid
10081,40.43118361035278,-3.67581222459097,11321,madrid
10082,40.43754712170137,-3.6916154834940427,88494,madrid
10083,40.41744491709889,-3.714244847951655,717517,madrid
10084,40.41349639458825,-3.7086499417392673,82021,madrid
10085,40.444794310909806,-3.6902008807193494,67021,madrid
10086,40.42140455949357,-3.708027688154766,83529,madrid
10087,40.448242002357425,-3.713429216973127,25466,madrid
10088,40.433172074890926,-3.7119076142938083,72130,madrid
10089,40.43108478601046,-3.677756374088213,3903,madrid
10090,40.405737298647665,-3.6898908173053644,93459,madrid
10091,40.447474462935354,-3.6718216456405828,68301,madrid
10092,40.422495606674,-3.7027160393351988,46002,madrid
10093,40.42891948071936,-3.6902187450932527,27842,madrid
10094,40.420406840138064,-3.690050735551329,16843,madrid
10095,40.41185134901215,-3.6892147856398028,2213233,madrid
10096,40.445168976028114,-3.717041139640714,74440,madrid
10097,40.428683974333616,-3.682484140771266,82719,madrid
10098,40.400143516351555,-3.672589525090619,49848,madrid
10099,40.43085724568104,-3.693266047141021,22830,madrid
10100,40.416332245088604,-3.7103721989522467,42674,madrid
10101,40.42635290511288,-3.682353704251003,1408877,madrid
10102,40.44429710496554,-3.719634051533607,12323,madrid
10103,40.41786348800012,-3.703587194817461,48889,madrid
10104,40.445426757545995,-3.67411968261778,63110,madrid
10105,40.431168005789594,-3.6905816333553063,42421,madrid
10106,40.400791062142325,-3.677240485804793,16386,madrid
10107,40.44647186168719,-3.6897663973825408,80655,madrid
10108,40.43454484587585,-3.6788710923738064,54227,madrid
10109,40.44986614252257,-3.676025823828534,70439,madrid
10110,40.408617025417264,-3.7039506812737772,11991,madrid
10111,40.406856787481445,-3.7138522614223914,96380,madrid
10112,40.44662977315186,-3.6839348327906714,90075,madrid
10113,40.4348409080745,-3.6979826456584384,58531,madrid
10114,40.4033000086361,-3.7136632145429,73369,madrid
10115,40.43777315263012,-3.6905088175945058,44876,madrid
10116,40.43769380942307,-3.718196584271507,48866,madrid
10117,40.446151226777324,-3.709990894179451,52967,madrid
10118,40.43557623793143,-3.6805849405166016,44547,madrid
10119,40.406213548098606,-3.7193951619992323,55846,madrid
10120,40.40099400669199,-3.704832716414572,19856,madrid
10121,40.40131054934388,-3.7189312019455967,34210,madrid
10122,40.401415324401036,-3.6701257503635834,61661,madrid
10123,40.41231055338015,-3.690898501182827,2016140,madrid
10124,40.443001397434145,-3.7053311860756972,12044,madrid
10125,40.426941553217084,-3.673552526905344,49191,madrid
10126,40.42764109893429,-3.69464402882259,8243,madrid
10127,40.442101544617984,-3.69726538862238,15958,madrid
10128,40.406208665756,-3.690606424685191,71194,madrid
10129,40.41395918395056,-3.7067931177894717,84145,madrid
10130,40.42928796357292,-3.7047355850326285,56943,madrid
10131,40.448479787415984,-3.701417271163791,2437068,madrid
10132,40.42805151096279,-3.7077776000314198,15073,madrid
10133,40.400932364468645,-3.6907726366941684,59194,madrid
10134,40.440031633634035,-3.6852076933033837,60265,madrid
10135,40.41164871369205,-3.7164026389918,45239,madrid
10136,40.440355259780944,-3.671445834018727,1249514,madrid
10137,40.41939303220321,-3.682346467206527,42184,madrid
10138,40.44317709272797,-3.6796918418523297,83216,madrid
10139,40.43735608213686,-3.6824179797959355,48468,madrid
10140,40.42781201169952,-3.7159969511364395,1529276,madrid
10141,40.40682276128303,-3.6959151858489414,48945,madrid
10142,40.40299588447561,-3.6977163521799175,2342436,madrid
10143,40.40606717278703,-3.6863763674737537,25142,madrid
10144,40.402227593927236,-3.697563137058784,69062,madrid
10145,40.405374706455305,-3.6847843300808045,885781,madrid
10146,40.411285466930394,-3.6859177331198687,91719,madrid
10147,40.43564944901914,-3.6851425735623624,564981,madrid
10148,40.42798584910271,-3.689069962871923,56056,madrid
10149,40.40062779900796,-3.7124509633360177,39293,madrid
10150,40.40359871398447,-3.6819598771847124,26515,madrid
10151,40.44836381650001,-3.680947708890302,41506,madrid
10152,40.428405023096,-3.6747948507043096,1565076,madrid
10153,40.41016466173305,-3.7083115653697947,1552713,madrid
10154,40.412616287228516,-3.711166055346383,27835,madrid
10155,40.43719129270376,-3.700445043844662,87525,madrid
10156,40.40977147405547,-3.703971767300242,50249,madrid
