n_policy,lat,lon,insured_sum,zone
10000,40.420851100235126,-3.680735198588919,1154714,madrid
10001,40.43601622467211,-3.71888347860041,1137548,madrid
10002,40.400005718740864,-3.7037818770136908,96816,madrid
10003,40.415116628631594,-3.6763538811799945,45566,madrid
10004,40.40733779454086,-3.6777645196198967,32019,madrid
10005,40.40461692973844,-3.6930779703702727,85434,madrid
10006,40.40931301056888,-3.6766695862916743,34867,madrid
10007,40.41727803635215,-3.6725097004323186,81232,madrid
10008,40.419838373711535,-3.678679650118533,45295,madrid
10009,40.42694083670017,-3.677294227808173,54922,madrid
10010,40.42095972572017,-3.715062829908983,34201,madrid
10011,40.43426097501984,-3.6874347833829506,44595,madrid
10012,40.41022261248658,-3.6848241505923673,36541,madrid
10013,40.44390587181955,-3.6894879593676686,71703,madrid
10014,40.4013693796599,-3.6800192369131985,12071,madrid
10015,40.43352337550892,-3.7182714390064184,33031,madrid
10016,40.42086524011836,-3.681488063272251,52930,madrid
10017,40.42793449142229,-3.6834135699630237,73084,madrid
10018,40.40701934692976,-3.7070150803350823,2361184,madrid
10019,40.409905074454244,-3.7071465350588926,1123285,madrid
10020,40.44003722843378,-3.6883848341284935,52879,madrid
10021,40.448413078785975,-3.702735126920446,22418,madrid
10022,40.41567120890796,-3.6801705660996356,96083,madrid
10023,40.43461613078347,-3.6976926883998273,61966,madrid
10024,40.4438194576148,-3.6808625292607915,9170,madrid
10025,40.444730333175194,-3.6704764108188077,16905,madrid
10026,40.40425221056849,-3.704987583023305,21026,madrid
10027,40.40195273916164,-3.712849708587095,87908,madrid
10028,40.40849152097823,-3.6749345781825364,17639,madrid
10029,40.44390712517147,-3.692922031055631,57643,madrid
10030,40.40491734169165,-3.6712629814572457,1378755,madrid
10031,40.421055381250255,-3.6881697799999054,41390,madrid
10032,40.44789447650753,-3.670304348769476,94395,madrid
10033,40.42665826424865,-3.6926964597928524,56417,madrid
10034,40.43459385569753,-3.693678703304724,17415,madrid
10035,40.4157757815503,-3.7132286048463916,20694,madrid
10036,40.43432504638408,-3.702214741450806,13420,madrid
10037,40.44173128359487,-3.7186890716351817,1706837,madrid
10038,40.400914413867206,-3.7119802410240177,20775,madrid
10039,40.43750721574725,-3.682718140364625,735011,madrid
10040,40.449443054445325,-3.7184800155035607,15119,madrid
10041,40.43740828271899,-3.701672845137813,31719,madrid
10042,40.41402219960322,-3.6768826873580975,61334,madrid
10043,40.43946396642258,-3.685366114124632,40560,madrid
10044,40.40516130032888,-3.6854528928966914,95642,madrid
10045,40.4223946763088,-3.7105681599522344,66005,madrid
10046,40.44542977515466,-3.697904785962579,31441,madrid
10047,40.41468070741868,-3.6909211296327853,79216,madrid
10048,40.41438876692932,-3.6705124146168147,28383,madrid
10049,40.406501428605914,-3.7098046887383442,92537,madrid
10050,40.40096834789351,-3.7076133549118824,32226,madrid
10051,40.433941776646996,-3.7068913458113544,76637,madrid
10052,40.4105814058,-3.6824913793351004,37425,madrid
10053,40.41327733296861,-3.6971512336282153,27297,madrid
10054,40.42457865796402,-3.717153528079445,23377,madrid
10055,40.40266812725585,-3.694574187969488,1296217,madrid
10056,40.4287058802746,-3.7094019917678165,72420,madrid
10057,40.40733642874529,-3.6800697877619895,54722,madrid
10058,40.429465276845164,-3.7051334309246364,19878,madrid
10059,40.43498791800105,-3.718619699402275,36923,madrid
10060,40.40511672144139,-3.690328377526769,66632,madrid
10061,40.42070279939098,-3.6778079785534405,46856,madrid
10062,40.43472000788639,-3.7009491937968892,88538,madrid
10063,40.42070896347634,-3.6825070844636927,24432,madrid
10064,40.402497672947305,-3.6944429260851437,23092,madrid
10065,40.426794820295775,-3.6929524097518907,8306,madrid
10066,40.43318973226099,-3.6720282839469123,44816,madrid
10067,40.42574445560292,-3.679801955425068,31754,madrid
10068,40.447229737799546,-3.7183838466688215,841439,madrid
10069,40.4293277520251,-3.6845306374384355,35441,madrid
10070,40.4451700957644,-3.6967499259218246,89822,madrid
10071,40.40687373520731,-3.6726225529302448,15309,madrid
10072,40.40696381736254,-3.708928363283826,30510,madrid
10073,40.44036956443548,-3.706646399015782,57406,madrid
10074,40.41988384184928,-3.715926301756137,1308574,madrid
10075,40.40826770985585,-3.698569058566811,91131,madrid
10076,40.4463754290198,-3.7145490617990466,12320,madrid
10077,40.417388292987276,-3.688310661969404,4538,madrid
10078,40.43754060515681,-3.679851838131313,41321,madrid
10079,40.436299899267524,-3.685159975193991,38188,madrid
10080,40.44416530456029,-3.6816894309462116,774993,madrid
10081,40.43118361035278,-3.7028772940078243,11321,madrid
10082,40.43754712170137,-3.677707425848616,88494,madrid
10083,40.41744491709889,-3.698561561250028,49121,madrid
10084,40.41349639458825,-3.678799506479384,1928392,madrid
10085,40.444794310909806,-3.6886751920687852,67021,madrid
10086,40.42140455949357,-3.712828847566488,83529,madrid
10087,40.448242002357425,-3.7160806550072527,1269000,madrid
10088,40.433172074890926,-3.71908336785435,72130,madrid
10089,40.43108478601046,-3.716663750118032,3903,madrid
10090,40.405737298647665,-3.6970708093145785,93459,madrid
10091,40.447474462935354,-3.714332903861621,68301,madrid
10092,40.422495606674,-3.718610832557567,46002,madrid
10093,40.42891948071936,-3.6822569259304765,27842,madrid
10094,40.420406840138064,-3.700257475976968,16843,madrid
10095,40.41185134901215,-3.6826530752196236,24515,madrid
10096,40.445168976028114,-3.6973797586626773,74440,madrid
10097,40.428683974333616,-3.697495662649962,82719,madrid
10098,40.400143516351555,-3.6960963746641085,49848,madrid
10099,40.43085724568104,-3.69629980367189,22830,madrid
10100,40.416332245088604,-3.6798418328942915,42674,madrid
10101,40.42635290511288,-3.699880374007113,23437,madrid
10102,40.44429710496554,-3.674765691982819,12323,madrid
10103,40.41786348800012,-3.7181469476022984,48889,madrid
10104,40.445426757545995,-3.681306282863979,63110,madrid
10105,40.431168005789594,-3.713717930943113,42421,madrid
10106,40.400791062142325,-3.6890743216543957,16386,madrid
10107,40.44647186168719,-3.7194817869332386,80655,madrid
10108,40.43454484587585,-3.6930686358711826,54227,madrid
10109,40.44986614252257,-3.7198491021690203,70439,madrid
10110,40.408617025417264,-3.6724403107254897,11991,madrid
10111,40.406856787481445,-3.674729898314861,96380,madrid
10112,40.44662977315186,-3.6802016529028867,90075,madrid
10113,40.4348409080745,-3.6742362840042606,58531,madrid
10114,40.4033000086361,-3.71272208844208,73369,madrid
10115,40.43777315263012,-3.7121134965064737,44876,madrid
10116,40.43769380942307,-3.7106184163548783,48866,madrid
10117,40.446151226777324,-3.688875204885004,52967,madrid
10118,40.43557623793143,-3.6747095251995847,44547,madrid
10119,40.406213548098606,-3.6705022410820463,55846,madrid
10120,40.40099400669199,-3.6844438770617094,19856,madrid
10121,40.40131054934388,-3.683409979542885,34210,madrid
10122,40.401415324401036,-3.6745353397727873,61661,madrid
10123,40.41231055338015,-3.699956313381444,5700,madrid
10124,40.443001397434145,-3.707507465988748,12044,madrid
10125,40.426941553217084,-3.711328491460644,49191,madrid
10126,40.42764109893429,-3.7140271474833138,8243,madrid
10127,40.442101544617984,-3.6793694705983584,15958,madrid
10128,40.406208665756,-3.712660381329138,71194,madrid
10129,40.41395918395056,-3.706785125863655,84145,madrid
10130,40.42928796357292,-3.6790455410683234,56943,madrid
10131,40.448479787415984,-3.7044706374102896,49561,madrid
10132,40.42805151096279,-3.6708791275353527,15073,madrid
10133,40.400932364468645,-3.706668064892418,59194,madrid
10134,40.440031633634035,-3.6933173327514397,60265,madrid
10135,40.41164871369205,-3.7042766494407076,45239,madrid
10136,40.440355259780944,-3.674461358441308,60118,madrid
10137,40.41939303220321,-3.7016721678074385,42184,madrid
10138,40.44317709272797,-3.6983203836363416,83216,madrid
10139,40.43735608213686,-3.694385365386082,48468,madrid
10140,40.42781201169952,-3.673055676131514,91043,madrid
10141,40.40682276128303,-3.7184525496864427,48945,madrid
10142,40.40299588447561,-3.6841560668184155,931215,madrid
10143,40.40606717278703,-3.675449052285383,25142,madrid
10144,40.402227593927236,-3.718635638824127,69062,madrid
10145,40.405374706455305,-3.6938974376373745,24150,madrid
