n_policy,lat,lon,insured_sum,zone
1,38.7696924989805,-6.0415252019892645,90256,spain
2,42.594616748595556,-3.0788149083738396,73173,spain
3,37.31391729361716,-5.594294861378216,96816,spain
4,38.95669153775208,-0.14701918756318477,45566,spain
5,38.88783912257025,-1.285743143035969,32019,spain
6,38.74301234286675,-1.3302715400131468,85434,spain
7,42.75550640574685,-8.08768954363169,34867,spain
8,39.99349495126954,-2.890498303694603,81232,spain
9,40.045764113468834,-5.24710333550534,45295,spain
10,36.51011308697818,-4.905309370910185,54922,spain
11,40.579265489613356,-2.4196444510586517,34201,spain
12,42.68622982606948,-8.849180103061666,44595,spain
13,39.99799321187081,-6.107245179781797,36541,spain
14,37.328767580688336,-3.228983151016811,71703,spain
15,41.09567744629131,-6.579999899199372,12071,spain
16,42.11442028191075,3.090230474609804,33031,spain
17,43.35284394322959,-4.967207403245544,52930,spain
18,38.708607814916554,-1.2707150284629343,73084,spain
19,41.93091680185507,-4.176390542777327,42084,spain
20,41.98445157786564,-4.278803319332267,86620,spain
21,42.714580409807525,-2.485811599527082,52879,spain
22,41.53335291129159,-1.1660486052235974,22418,spain
23,43.0452711567042,-6.041202707568694,96083,spain
24,41.40218898677934,-5.541625973695194,61966,spain
25,42.02499656792793,-0.14953733007321546,9170,spain
26,37.18027627840982,-5.768514461984964,16905,spain
27,38.98883181018691,-3.1065991097795997,21026,spain
28,42.777215533419934,-1.226979007507211,87908,spain
29,42.75578002465667,-3.7765978038634014,17639,spain
30,37.85512774503794,-5.640128051353543,57643,spain
31,40.67217133565516,-5.800027197890019,92438,spain
32,36.54912457633192,-5.872065878225616,41390,spain
33,41.69340180818738,0.0018684527815651109,94395,spain
34,42.29314246244708,-4.393884448605565,56417,spain
35,42.13791690435425,-4.558505211228056,17415,spain
36,36.65178918885295,-5.233738041566335,20694,spain
37,38.6720070976924,-4.960944449427931,13420,spain
38,40.96469793844526,-2.45792679861637,52930,spain
39,43.306816523368596,-3.071584708935397,20775,spain
40,43.070874612292,-9.132203444868288,836583,spain
41,40.00088118346367,-2.913782200135193,15119,spain
42,42.109342617061614,-6.291370060098638,31719,spain
43,43.172793378250326,-5.283764848768325,1393919,spain
44,39.43395131265003,-1.6683567416148009,40560,spain
45,39.65468398668557,-0.8190127899979416,95642,spain
46,40.01710358997976,3.95039838255202,1083155,spain
47,38.25423134486181,-2.674958306008218,31441,spain
48,41.26292430004891,-5.3511451128331,79216,spain
49,42.623788100482315,-4.289151848192981,28383,spain
50,43.25419464435531,-7.429495525254339,92537,spain
51,42.098968700395396,-4.173903556670297,32226,spain
52,40.43179400692458,-0.4946779796640435,76637,spain
53,42.190310325652405,1.4772928000232994,37425,spain
54,42.932207246673094,-6.049990006042256,27297,spain
55,41.43921080387864,1.0540557002029303,23377,spain
56,42.09658981379121,-3.5100690633952443,34134,spain
57,39.173036269309605,-0.24054465258278412,72420,spain
58,42.3683120814035,-5.9798038626573735,54722,spain
59,37.55181057916409,-3.8408809440527225,19878,spain
60,42.81498490058694,-5.878277335948507,36923,spain
61,39.762967320095655,-6.320371647582398,66632,spain
62,37.84367445086949,-1.3871728332778623,46856,spain
63,39.91433398518812,-2.578989447494468,88538,spain
